City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,pangody,65.85,74.4859,12.45,72,28,2.34,RU,1724609766
323,castillos,-34.1667,-53.8333,9.28,86,100,5.77,UY,1724609768
324,fisterra,42.9049,-9.2629,18.71,68,5,10.78,ES,1724609769
325,tallahassee,30.4383,-84.2807,31.91,63,100,4.12,US,1724609293
326,mejit,10.2753,170.8646,28.28,79,97,6.29,MH,1724609771
327,columbia falls,48.3725,-114.1815,16.82,29,100,1.54,US,1724609772
328,sarupathar,26.1984,93.8094,25.3,96,45,1.62,IN,1724609774
329,portales,34.1862,-103.3344,35.55,19,1,4.79,US,1724609775
330,kulhudhuffushi,6.6221,73.07,27.63,78,80,3.87,MV,1724609776
331,bee cave,30.3085,-97.945,34.91,51,20,3.13,US,1724609777
332,nizhnevartovsk,60.9344,76.5531,12.01,87,0,3.0,RU,1724609778
333,haiku-pauwela,20.9219,-156.3051,24.57,95,100,10.8,US,1724609780
334,namibe,-15.1961,12.1522,18.34,90,52,2.33,AO,1724609781
335,keren,15.7778,38.4581,23.35,71,23,0.96,ER,1724609782
336,galle,6.0367,80.217,26.97,84,73,4.85,LK,1724609783
337,kindia,10.0569,-12.8658,21.95,97,100,1.04,GN,1724609784
338,mount gambier,-37.8333,140.7667,11.34,84,57,4.78,AU,1724609787
339,gimbi,9.1667,35.8333,14.07,95,70,1.57,ET,1724609788
340,micheweni,-4.9667,39.8333,24.32,82,33,5.14,TZ,1724609789
341,salinopolis,-0.6136,-47.3561,29.58,66,73,6.49,BR,1724609791
342,homosassa springs,28.8036,-82.5759,34.01,63,40,2.06,US,1724609793
343,san antonio de pale,-1.4014,5.6325,23.89,82,48,3.63,GQ,1724609794
344,oum hadjer,13.2954,19.6966,25.66,83,88,2.87,TD,1724609795
345,deqen,29.9618,90.7188,9.28,54,32,1.51,CN,1724609796
346,ola,59.5833,151.2833,10.64,81,55,0.4,RU,1724609797
